,price,price_meter,surface,rooms,floor,max_floors,market,building_type,year_of_construction,lat,lon,rent
1,1270684.8,11880,106.96,3,7,11,primary,apartment building,2013,52.2337949826506,21.0361495587219,230
2,360000,5741.63,62.7,2,3,3,secondary,block of flats,2001,52.337342,20.938295,804
3,888840,12000,74.07,4,2,10,primary,apartment building,2018,52.18945,21.01496,640
4,780000,8666.67,90,4,2,2,secondary,tenement house,1996,52.2748,20.9336,590
5,526432.5,6750,77.99,4,3,10,primary,block of flats,2016,52.234001,21.1034935,400
6,385000,6416.67,60,3,3,10,secondary,block of flats,1975,52.2988,21.0445,585
7,355000,7100,50,2,3,4,secondary,apartment building,2012,52.207,20.867,400
8,370048.01,6649.56,55.65,3,2,6,primary,block of flats,2012,52.234001,21.1034935,490
9,1310000,13367.35,98,3,2,8,secondary,block of flats,2006,52.23095,21.057201,550
10,413500,7283.78,56.77,3,1,4,primary,block of flats,2011,52.2415695,21.094758,377
11,550000,9649.12,57,3,8,8,secondary,apartment building,2002,52.1421579,21.0495889,477
12,1650000,16288.25,101.3,3,2,5,secondary,tenement house,1937,52.2284025,21.0124473,200
13,1600000,14678.9,109,4,5,5,secondary,tenement house,1928,52.220995,21.0361336,370
14,1440000,16941.18,85,3,4,5,secondary,tenement house,2016,52.2328474,21.0123237,480
15,399000,8303.85,48.05,2,3,3,secondary,block of flats,1952,52.2765326,20.9515904,551
16,1150000,18253.97,63,2,5,5,secondary,tenement house,1934,52.2261486,21.013761,660
17,890000,12191.78,73,2,3,5,secondary,block of flats,1955,52.2209408,21.0139714,350
18,750000,8284.55,90.53,3,3,4,secondary,tenement house,1938,52.2173534,20.9780522,820
19,238000,7677.42,31,1,6,10,secondary,block of flats,1974,52.1764602,21.0484077,280
20,345000,9362.28,36.85,1,3,6,secondary,block of flats,1955,52.2079759,21.0104211,450
21,355200,7965.91,44.59,2,4,10,primary,block of flats,1970,52.2415695,21.094758,600
22,795000,7361.11,108,4,1,2,secondary,apartment building,1997,52.1688498,21.0435838,1200
23,535725,7500,71.43,3,7,8,primary,apartment building,2002,52.2419112,20.9053732,450
24,387000,8716.22,44.4,2,3,6,secondary,block of flats,2011,52.18962,20.90492,600
25,355000,5298.51,67,3,3,3,secondary,apartment building,2010,52.3607123,21.0373203,670
26,976680,7268.59,134.37,4,7,8,primary,apartment building,2018,52.2419112,20.9053732,630
27,685000,12924.53,53,3,3,4,secondary,block of flats,1955,52.2440581,21.008994,495
28,570000,8558.56,66.6,4,4,10,secondary,block of flats,2003,52.1777508,21.0491132,900
29,326000,5988.24,54.44,3,7,9,secondary,block of flats,1975,52.275671,20.9232547,600
30,460304.78,6699.24,68.71,3,1,8,primary,block of flats,2002,52.23338,20.95718,858
31,268300,7884.22,34.03,1,4,5,primary,block of flats,1970,52.2415695,21.094758,515
32,454439.76,6899.04,65.87,3,3,3,primary,block of flats,2017,52.23338,20.95718,380
33,574525.53,7099.92,80.92,4,1,2,primary,apartment building,2017,52.23338,20.95718,800
34,435916.4,7199.28,60.55,3,3,3,primary,apartment building,1936,52.23338,20.95718,800
35,255000,9010.6,28.3,1,8,10,secondary,block of flats,1978,52.1911991,20.98997,290
36,326151.49,7299.72,44.68,2,3,3,primary,block of flats,2017,52.23338,20.95718,380
37,249000,7545.45,33,1,2,4,secondary,block of flats,2005,52.2713128,21.1495403,300
38,306000,6725.27,45.5,2,1,6,secondary,apartment building,2002,52.3363075,20.9394749,650
